Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4b7vk8SRcYgnxpk0JOIS7r,"Drugs You Should Try It","DAYS BEFORE RODEO","Travis Scott",2014-08-18,208487,75,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-23T14:32:23Z,"rap","Cactus Jack/Epic",0.593,0.559,1,-8.104,0,0.0571,0.525,0.00133,0.121,0.0729,139.982,4
spotify:track:6pcywuOeGGWeOQzdUyti6k,"Glock In My Lap","SAVAGE MODE II","21 Savage,Metro Boomin",2020-10-02,193591,80,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.847,0.733,10,-6.439,0,0.16,0.00574,0.0000104,0.151,0.202,130.029,4
spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,91,false,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"","Darkroom/Interscope Records",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
spotify:track:6fPan2saHdFaIHuTSatORv,"L’AMOUR DE MA VIE","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,333986,85,false,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"","Darkroom/Interscope Records",0.467,0.392,9,-9.355,1,0.0908,0.2,0.0174,0.106,0.313,145.104,4
spotify:track:09DR0sHnQUhHOiSNttc1mv,"Not Strong Enough","the record","boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",2023-03-31,234933,75,false,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"ambient folk","boygenius under exclusive license to Interscope Records",0.502,0.798,1,-5.909,1,0.0414,0.00291,0.0000111,0.0979,0.307,126.976,4
spotify:track:5In8B6Om5OKrhwBMB4tXSi,"Fuel","The Death of Slim Shady (Coup De Grâce)","Eminem,JID",2024-07-12,213646,75,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap,hip hop","Shady/Aftermath/Interscope Records",0.885,0.662,1,-5.139,1,0.142,0.121,0,0.109,0.117,137.981,4
spotify:track:3xKsf9qdS1CyvXSMEid6g8,"Pink + White","Blonde","Frank Ocean",2016-08-20,184516,90,false,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"","Boys Don't Cry",0.545,0.545,9,-7.362,1,0.107,0.667,0.0000548,0.417,0.549,159.94,3
spotify:track:28drn6tQo95MRvO0jQEo5C,"Type Shit","WE DON'T TRUST YOU","Future,Metro Boomin,Travis Scott,Playboi Carti",2024-03-22,228266,85,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap,rage rap","Wilburn Holding Co./Boominati/Epic/Republic",0.64,0.552,2,-5.679,1,0.129,0.0215,0,0.119,0.112,144.941,4
spotify:track:2tudvzsrR56uom6smgOcSf,"Like That","WE DON'T TRUST YOU","Future,Metro Boomin,Kendrick Lamar",2024-03-22,267706,87,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap,hip hop,west coast hip hop","Wilburn Holding Co./Boominati/Epic/Republic",0.814,0.676,11,-4.67,0,0.231,0.00709,0.0000128,0.119,0.312,162.012,4
spotify:track:0hKtu53OlIFXVuYkZwcn3o,"Cinderella","WE DON'T TRUST YOU","Future,Metro Boomin,Travis Scott",2024-03-22,169840,77,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap","Wilburn Holding Co./Boominati/Epic/Republic",0.876,0.412,5,-7.74,0,0.0748,0.431,0,0.101,0.15,130.052,4
spotify:track:0Thqjtu54vKMP06pwZkAWp,"G.O.M.D","2014 Forest Hills Drive","J. Cole",2014-12-09,301064,74,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap","Roc Nation Records LLC",0.889,0.4,4,-10.586,0,0.26,0.322,0.0000132,0.331,0.336,128.073,4
spotify:track:68Dni7IE4VyPkTOH9mRWHr,"No Role Modelz","2014 Forest Hills Drive","J. Cole",2014-12-09,292799,88,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap","Roc Nation Records LLC",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
spotify:track:1D3z6HTiQsNmZxjl7F7eoG,"m y . l i f e (with 21 Savage & Morray)","The Off-Season","J. Cole,21 Savage,Morray",2021-05-14,218801,76,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap","Dreamville, Inc., Under exclusive license to Roc Nation Records",0.597,0.587,7,-7.026,0,0.137,0.0622,0,0.214,0.0753,140.021,4
spotify:track:1udwFobQ1JoOdWPQrp2b6u,"Surround Sound (feat. 21 Savage & Baby Tate)","The Forever Story (Extended Version)","JID,21 Savage,Baby Tate",2022-10-31,229938,80,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"","Dreamville/Interscope",0.574,0.567,7,-7.126,0,0.465,0.164,0,0.258,0.526,75.965,4
spotify:track:4EWCNWgDS8707fNSZ1oaA5,"Heartless","808s & Heartbreak","Kanye West",2008-11-24,211000,86,false,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap","Roc-A-Fella",0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,4
spotify:track:5SkRLpaGtvYPhw02vZhQQ9,"All Falls Down","The College Dropout","Kanye West,Syleena Johnson",2004-02-10,223506,84,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap,neo soul","Roc-A-Fella",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,4
spotify:track:1ko2NuvWlQdxtNRc8QQzmT,"Spaceship","The College Dropout","Kanye West,GLC,Consequence",2004-02-10,324226,68,true,v4r22b3zuhb58uhdj57xbfi1h,2024-08-14T13:08:08Z,"rap","Roc-A-Fella",0.507,0.753,5,-5.31,0,0.19,0.503,0,0.573,0.657,178.068,3
